season,team,win_total_line,actual_wins,over_under_result
2004-05,Atlanta Hawks,27.5,13,Under
2005-06,Atlanta Hawks,21.5,26,Over
2006-07,Atlanta Hawks,28,30,Over
2007-08,Atlanta Hawks,38.5,37,Under
2008-09,Atlanta Hawks,36.5,47,Over
2009-10,Atlanta Hawks,44.5,53,Over
2010-11,Atlanta Hawks,46.5,44,Under
2011-12,Atlanta Hawks,34.5,40,Over
2012-13,Atlanta Hawks,42.5,44,Over
2013-14,Atlanta Hawks,39.5,38,Under
2014-15,Atlanta Hawks,42.5,60,Over
2015-16,Atlanta Hawks,49.5,48,Under
2016-17,Atlanta Hawks,43.5,43,Under
2017-18,Atlanta Hawks,25.5,24,Under
2018-19,Atlanta Hawks,23.5,29,Over
2019-20,Atlanta Hawks,33.5,20,Void
2020-21,Atlanta Hawks,34.5,41,Over
2021-22,Atlanta Hawks,47.5,43,Under
2022-23,Atlanta Hawks,46.5,41,Under
2023-24,Atlanta Hawks,42.5,36,Under
2024-25,Atlanta Hawks,36.5,40,Over
2025-26,Atlanta Hawks,46.5,46,Under
2004-05,Boston Celtics,40.5,45,Over
2005-06,Boston Celtics,40.5,33,Under
2006-07,Boston Celtics,35,24,Under
2007-08,Boston Celtics,49.5,66,Over
2008-09,Boston Celtics,53.5,62,Over
2009-10,Boston Celtics,56.5,50,Under
2010-11,Boston Celtics,52.5,56,Over
2011-12,Boston Celtics,40.5,39,Under
2012-13,Boston Celtics,51.5,41,Under
2013-14,Boston Celtics,28.5,25,Under
2014-15,Boston Celtics,27,40,Over
2015-16,Boston Celtics,45.5,48,Over
2016-17,Boston Celtics,52.5,53,Over
2017-18,Boston Celtics,53.5,55,Over
2018-19,Boston Celtics,59,49,Under
2019-20,Boston Celtics,48.5,48,Void
2020-21,Boston Celtics,44.5,36,Under
2021-22,Boston Celtics,45.5,51,Over
2022-23,Boston Celtics,54.5,57,Over
2023-24,Boston Celtics,54.5,64,Over
2024-25,Boston Celtics,58.5,61,Over
2025-26,Boston Celtics,41.5,56,Over
2004-05,Brooklyn Nets,37.5,42,Over
2005-06,Brooklyn Nets,47,49,Over
2006-07,Brooklyn Nets,46.5,41,Under
2007-08,Brooklyn Nets,43.5,34,Under
2008-09,Brooklyn Nets,27.5,34,Over
2009-10,Brooklyn Nets,27.5,12,Under
2010-11,Brooklyn Nets,24.5,24,Under
2011-12,Brooklyn Nets,27.5,22,Under
2012-13,Brooklyn Nets,44.5,49,Over
2013-14,Brooklyn Nets,52.5,44,Under
2014-15,Brooklyn Nets,41.5,38,Under
2015-16,Brooklyn Nets,27.5,21,Under
2016-17,Brooklyn Nets,21.5,20,Under
2017-18,Brooklyn Nets,27.5,28,Over
2018-19,Brooklyn Nets,32,42,Over
2019-20,Brooklyn Nets,43.5,35,Void
2020-21,Brooklyn Nets,45.5,48,Over
2021-22,Brooklyn Nets,56.5,44,Under
2022-23,Brooklyn Nets,50.5,45,Under
2023-24,Brooklyn Nets,37.5,32,Under
2024-25,Brooklyn Nets,19.5,26,Over
2025-26,Brooklyn Nets,19.5,20,Over
2004-05,Charlotte Hornets,16.5,18,Over
2005-06,Charlotte Hornets,21,26,Over
2006-07,Charlotte Hornets,32,33,Over
2007-08,Charlotte Hornets,35.5,32,Under
2008-09,Charlotte Hornets,36.5,35,Under
2009-10,Charlotte Hornets,36.5,44,Over
2010-11,Charlotte Hornets,39.5,34,Under
2011-12,Charlotte Hornets,19.5,7,Under
2012-13,Charlotte Hornets,19.5,21,Over
2013-14,Charlotte Hornets,26,43,Over
2014-15,Charlotte Hornets,45,33,Under
2015-16,Charlotte Hornets,34,48,Over
2016-17,Charlotte Hornets,42.5,36,Under
2017-18,Charlotte Hornets,42.5,36,Under
2018-19,Charlotte Hornets,35.5,39,Over
2019-20,Charlotte Hornets,23.5,23,Void
2020-21,Charlotte Hornets,26.5,33,Over
2021-22,Charlotte Hornets,38.5,43,Over
2022-23,Charlotte Hornets,34.5,27,Under
2023-24,Charlotte Hornets,31.5,21,Under
2024-25,Charlotte Hornets,30.5,19,Under
2025-26,Charlotte Hornets,27.5,44,Over
2004-05,Chicago Bulls,32.5,47,Over
2005-06,Chicago Bulls,43,41,Under
2006-07,Chicago Bulls,48,49,Over
2007-08,Chicago Bulls,50.5,33,Under
2008-09,Chicago Bulls,40.5,41,Over
2009-10,Chicago Bulls,40.5,41,Over
2010-11,Chicago Bulls,46.5,62,Over
2011-12,Chicago Bulls,47.5,50,Over
2012-13,Chicago Bulls,47.5,45,Under
2013-14,Chicago Bulls,56.5,48,Under
2014-15,Chicago Bulls,55.5,50,Under
2015-16,Chicago Bulls,50.5,42,Under
2016-17,Chicago Bulls,39,41,Over
2017-18,Chicago Bulls,22,27,Over
2018-19,Chicago Bulls,30,22,Under
2019-20,Chicago Bulls,33.5,22,Void
2020-21,Chicago Bulls,29.5,31,Over
2021-22,Chicago Bulls,42.5,46,Over
2022-23,Chicago Bulls,41.5,40,Under
2023-24,Chicago Bulls,37.5,39,Over
2024-25,Chicago Bulls,28.5,39,Over
2025-26,Chicago Bulls,33.5,31,Under
2004-05,Cleveland Cavaliers,43.5,42,Under
2005-06,Cleveland Cavaliers,49.5,50,Over
2006-07,Cleveland Cavaliers,48,50,Over
2007-08,Cleveland Cavaliers,49.5,45,Under
2008-09,Cleveland Cavaliers,47.5,66,Over
2009-10,Cleveland Cavaliers,61.5,61,Under
2010-11,Cleveland Cavaliers,30.5,19,Under
2011-12,Cleveland Cavaliers,17.5,21,Over
2012-13,Cleveland Cavaliers,31.5,24,Under
2013-14,Cleveland Cavaliers,40.5,33,Under
2014-15,Cleveland Cavaliers,58.5,53,Under
2015-16,Cleveland Cavaliers,56.5,57,Over
2016-17,Cleveland Cavaliers,56.5,51,Under
2017-18,Cleveland Cavaliers,53.5,50,Under
2018-19,Cleveland Cavaliers,30.5,19,Under
2019-20,Cleveland Cavaliers,24.5,19,Void
2020-21,Cleveland Cavaliers,22.5,22,Under
2021-22,Cleveland Cavaliers,26.5,44,Over
2022-23,Cleveland Cavaliers,46.5,51,Over
2023-24,Cleveland Cavaliers,50.5,48,Under
2024-25,Cleveland Cavaliers,48.5,64,Over
2025-26,Cleveland Cavaliers,56.5,52,Under
2004-05,Dallas Mavericks,50.5,58,Over
2005-06,Dallas Mavericks,52.5,60,Over
2006-07,Dallas Mavericks,56,67,Over
2007-08,Dallas Mavericks,56.5,51,Under
2008-09,Dallas Mavericks,46.5,50,Over
2009-10,Dallas Mavericks,48.5,55,Over
2010-11,Dallas Mavericks,49.5,57,Over
2011-12,Dallas Mavericks,44.5,36,Under
2012-13,Dallas Mavericks,44.5,41,Under
2013-14,Dallas Mavericks,43.5,49,Over
2014-15,Dallas Mavericks,49.5,50,Over
2015-16,Dallas Mavericks,36.5,42,Over
2016-17,Dallas Mavericks,39.5,33,Under
2017-18,Dallas Mavericks,35.5,24,Under
2018-19,Dallas Mavericks,35.5,33,Under
2019-20,Dallas Mavericks,40.5,43,Void
2020-21,Dallas Mavericks,42.5,42,Under
2021-22,Dallas Mavericks,48.5,52,Over
2022-23,Dallas Mavericks,48.5,38,Under
2023-24,Dallas Mavericks,45.5,50,Over
2024-25,Dallas Mavericks,49.5,39,Under
2025-26,Dallas Mavericks,41.5,26,Under
2004-05,Denver Nuggets,49.5,49,Under
2005-06,Denver Nuggets,50.5,44,Under
2006-07,Denver Nuggets,41.5,45,Over
2007-08,Denver Nuggets,48.5,50,Over
2008-09,Denver Nuggets,40.5,54,Over
2009-10,Denver Nuggets,52.5,53,Over
2010-11,Denver Nuggets,43.5,50,Over
2011-12,Denver Nuggets,36.5,38,Over
2012-13,Denver Nuggets,49.5,57,Over
2013-14,Denver Nuggets,46.5,36,Under
2014-15,Denver Nuggets,42,30,Under
2015-16,Denver Nuggets,27.5,33,Over
2016-17,Denver Nuggets,37,40,Over
2017-18,Denver Nuggets,45.5,46,Over
2018-19,Denver Nuggets,47.5,54,Over
2019-20,Denver Nuggets,53,46,Void
2020-21,Denver Nuggets,44.5,47,Over
2021-22,Denver Nuggets,47.5,48,Over
2022-23,Denver Nuggets,51.5,53,Over
2023-24,Denver Nuggets,52.5,57,Over
2024-25,Denver Nuggets,51.5,50,Under
2025-26,Denver Nuggets,53.5,54,Over
2004-05,Detroit Pistons,56.5,54,Under
2005-06,Detroit Pistons,51.5,64,Over
2006-07,Detroit Pistons,51.5,53,Over
2007-08,Detroit Pistons,50.5,59,Over
2008-09,Detroit Pistons,50.5,39,Under
2009-10,Detroit Pistons,41.5,27,Under
2010-11,Detroit Pistons,30.5,30,Under
2011-12,Detroit Pistons,21.5,25,Over
2012-13,Detroit Pistons,32.5,29,Under
2013-14,Detroit Pistons,40.5,29,Under
2014-15,Detroit Pistons,36,32,Under
2015-16,Detroit Pistons,36.5,44,Over
2016-17,Detroit Pistons,44.5,37,Under
2017-18,Detroit Pistons,38.5,39,Over
2018-19,Detroit Pistons,38.5,41,Over
2019-20,Detroit Pistons,37.5,20,Void
2020-21,Detroit Pistons,23.5,20,Under
2021-22,Detroit Pistons,24.5,23,Under
2022-23,Detroit Pistons,29.5,17,Under
2023-24,Detroit Pistons,28.5,14,Under
2024-25,Detroit Pistons,25.5,44,Over
2025-26,Detroit Pistons,46.5,60,Over
2004-05,Golden State Warriors,35.5,34,Under
2005-06,Golden State Warriors,41.5,34,Under
2006-07,Golden State Warriors,35,42,Over
2007-08,Golden State Warriors,42.5,48,Over
2008-09,Golden State Warriors,37.5,29,Under
2009-10,Golden State Warriors,34.5,26,Under
2010-11,Golden State Warriors,30.5,36,Over
2011-12,Golden State Warriors,29.5,23,Under
2012-13,Golden State Warriors,35.5,47,Over
2013-14,Golden State Warriors,51,51,Push
2014-15,Golden State Warriors,52.5,67,Over
2015-16,Golden State Warriors,59.5,73,Over
2016-17,Golden State Warriors,66.5,67,Over
2017-18,Golden State Warriors,67.5,58,Under
2018-19,Golden State Warriors,62.5,57,Under
2019-20,Golden State Warriors,47.5,15,Void
2020-21,Golden State Warriors,37.5,39,Over
2021-22,Golden State Warriors,48.5,53,Over
2022-23,Golden State Warriors,52.5,44,Under
2023-24,Golden State Warriors,48.5,46,Under
2024-25,Golden State Warriors,43.5,48,Over
2025-26,Golden State Warriors,47.5,37,Under
2004-05,Houston Rockets,50.5,51,Over
2005-06,Houston Rockets,53,34,Under
2006-07,Houston Rockets,45.5,52,Over
2007-08,Houston Rockets,53.5,55,Over
2008-09,Houston Rockets,53.5,53,Under
2009-10,Houston Rockets,35.5,42,Over
2010-11,Houston Rockets,48.5,43,Under
2011-12,Houston Rockets,33.5,34,Over
2012-13,Houston Rockets,31.5,45,Over
2013-14,Houston Rockets,54.5,54,Under
2014-15,Houston Rockets,49,56,Over
2015-16,Houston Rockets,56.5,41,Under
2016-17,Houston Rockets,44,55,Over
2017-18,Houston Rockets,55.5,65,Over
2018-19,Houston Rockets,56.5,53,Under
2019-20,Houston Rockets,54,44,Void
2020-21,Houston Rockets,34.5,17,Under
2021-22,Houston Rockets,27.5,20,Under
2022-23,Houston Rockets,23.5,22,Under
2023-24,Houston Rockets,31.5,41,Over
2024-25,Houston Rockets,43.5,52,Over
2025-26,Houston Rockets,52.5,52,Under
2004-05,Indiana Pacers,51.5,44,Under
2005-06,Indiana Pacers,52.5,41,Under
2006-07,Indiana Pacers,44.5,35,Under
2007-08,Indiana Pacers,30.5,36,Over
2008-09,Indiana Pacers,35.5,36,Over
2009-10,Indiana Pacers,34.5,32,Under
2010-11,Indiana Pacers,33.5,37,Over
2011-12,Indiana Pacers,36.5,42,Over
2012-13,Indiana Pacers,51.5,49,Under
2013-14,Indiana Pacers,54.5,56,Over
2014-15,Indiana Pacers,33.5,38,Over
2015-16,Indiana Pacers,41.5,45,Over
2016-17,Indiana Pacers,44.5,42,Under
2017-18,Indiana Pacers,31.5,48,Over
2018-19,Indiana Pacers,47.5,48,Over
2019-20,Indiana Pacers,46.5,45,Void
2020-21,Indiana Pacers,38.5,34,Under
2021-22,Indiana Pacers,42.5,25,Under
2022-23,Indiana Pacers,24.5,35,Over
2023-24,Indiana Pacers,38.5,47,Over
2024-25,Indiana Pacers,46.5,50,Over
2025-26,Indiana Pacers,37.5,19,Under
2004-05,Los Angeles Clippers,32.5,37,Over
2005-06,Los Angeles Clippers,38.5,47,Over
2006-07,Los Angeles Clippers,47,40,Under
2007-08,Los Angeles Clippers,30.5,23,Under
2008-09,Los Angeles Clippers,34.5,19,Under
2009-10,Los Angeles Clippers,34.5,29,Under
2010-11,Los Angeles Clippers,36.5,32,Under
2011-12,Los Angeles Clippers,42.5,40,Under
2012-13,Los Angeles Clippers,49.5,56,Over
2013-14,Los Angeles Clippers,57.5,57,Under
2014-15,Los Angeles Clippers,56.5,56,Under
2015-16,Los Angeles Clippers,56.5,53,Under
2016-17,Los Angeles Clippers,53.5,51,Under
2017-18,Los Angeles Clippers,43.5,42,Under
2018-19,Los Angeles Clippers,37,48,Over
2019-20,Los Angeles Clippers,53.5,49,Void
2020-21,Los Angeles Clippers,46.5,47,Over
2021-22,Los Angeles Clippers,45.5,42,Under
2022-23,Los Angeles Clippers,52.5,44,Under
2023-24,Los Angeles Clippers,46.5,51,Over
2024-25,Los Angeles Clippers,35.5,50,Over
2025-26,Los Angeles Clippers,49.5,42,Under
2004-05,Los Angeles Lakers,45.5,34,Under
2005-06,Los Angeles Lakers,41.5,45,Over
2006-07,Los Angeles Lakers,42.5,42,Under
2007-08,Los Angeles Lakers,43.5,57,Over
2008-09,Los Angeles Lakers,54.5,65,Over
2009-10,Los Angeles Lakers,62,57,Under
2010-11,Los Angeles Lakers,56.5,57,Over
2011-12,Los Angeles Lakers,42.5,41,Under
2012-13,Los Angeles Lakers,58.5,45,Under
2013-14,Los Angeles Lakers,36.5,27,Under
2014-15,Los Angeles Lakers,29,21,Under
2015-16,Los Angeles Lakers,28.5,17,Under
2016-17,Los Angeles Lakers,24.5,26,Over
2017-18,Los Angeles Lakers,33.5,35,Over
2018-19,Los Angeles Lakers,48.5,37,Under
2019-20,Los Angeles Lakers,50.5,52,Void
2020-21,Los Angeles Lakers,47.5,42,Under
2021-22,Los Angeles Lakers,52.5,33,Under
2022-23,Los Angeles Lakers,44.5,43,Under
2023-24,Los Angeles Lakers,47.5,47,Under
2024-25,Los Angeles Lakers,43.5,50,Over
2025-26,Los Angeles Lakers,46.5,53,Over
2004-05,Memphis Grizzlies,47.5,45,Under
2005-06,Memphis Grizzlies,42.5,49,Over
2006-07,Memphis Grizzlies,40,22,Under
2007-08,Memphis Grizzlies,32.5,22,Under
2008-09,Memphis Grizzlies,22.5,24,Over
2009-10,Memphis Grizzlies,27.5,40,Over
2010-11,Memphis Grizzlies,38.5,46,Over
2011-12,Memphis Grizzlies,37.5,41,Over
2012-13,Memphis Grizzlies,48.5,56,Over
2013-14,Memphis Grizzlies,50.5,50,Under
2014-15,Memphis Grizzlies,48.5,55,Over
2015-16,Memphis Grizzlies,50.5,42,Under
2016-17,Memphis Grizzlies,42.5,43,Over
2017-18,Memphis Grizzlies,37.5,22,Under
2018-19,Memphis Grizzlies,34.5,33,Under
2019-20,Memphis Grizzlies,27.5,34,Void
2020-21,Memphis Grizzlies,31.5,38,Over
2021-22,Memphis Grizzlies,41.5,56,Over
2022-23,Memphis Grizzlies,49.5,51,Over
2023-24,Memphis Grizzlies,45.5,27,Under
2024-25,Memphis Grizzlies,47.5,48,Over
2025-26,Memphis Grizzlies,39.5,25,Under
